g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.128,1,4,0.0232555866241455,0.055923445968006,-0.0020566646080923,-0.0089408993891668,-0.0150867077331981,-0.0349327509250973,-1.9752010920504095,-3.7499040567732087,-inf
0.129,1,4,0.0233700275421142,0.0499027426805032,-0.0028485366227134,-0.0126396871142514,-0.0151836208256494,-0.043582550687352,-2.5056620857253846,-3.558623514256534,-inf
0.13,1,4,0.0233123302459716,0.0506791242611986,-0.0036829473783285,-0.0141350583426428,-0.014517036893111,-0.0480562367103989,-2.4398372745309755,-3.407964357233176,-inf
0.131,1,4,0.0423102378845214,0.0587371665317314,-0.0047937212578026,-0.0120519368147373,-0.0168016280426149,-0.0339101571493379,-1.9850280501697315,-inf,-inf
0.132,1,4,0.0232725143432617,0.0383708294404196,-0.0020043574666587,-0.0120201548311379,-0.0159600136952387,-0.0486340424890598,-2.7028395257766995,-3.590267452531706,-inf
0.133,1,4,0.023000955581665,0.0756098400801324,-0.0021433889889206,-0.0117731219990892,-0.0157840182829053,-0.0353284725135361,-2.547685616962024,-3.7610934983279782,-inf
0.134,1,4,0.0233304500579834,0.054247191786704,-0.0037842205573641,-0.0122394078445322,-0.0133119220199457,-0.04007447158784,-2.698649985900664,-3.8075986735029193,-inf
0.135,1,4,0.0234792232513427,0.0478880908436703,-0.0015475393344235,-0.0106478977712914,-0.0133318611067315,-0.0346062430872798,-1.282935307308876,-3.079432999026082,-inf
0.136,1,4,0.0234580039978027,0.0424196683947473,-0.0106346035502957,-0.0135135385470949,-0.0137690671441382,-0.0536605851291644,-3.200756850303585,-3.6503647204383816,-inf
0.137,1,4,0.0231921672821044,0.0528311024533021,-0.0019885697870222,-0.0113514787904926,-0.0146923043470371,-0.0464974908037143,-2.6507882408751016,-3.9884198394555246,-inf
0.138,1,4,0.0233616828918457,0.0473857235721188,-0.0047578714321995,-0.0136981657406608,-0.0154269257193818,-0.0545488753313686,-2.5733084223657485,-3.5775737565331776,-inf
0.139,1,4,0.0233476161956787,0.0611197475862334,-0.0025845574470013,-0.0127491573104704,-0.0130176784515459,-0.0482894876717265,-2.8862669321299075,-3.446351753852425,-inf
0.14,1,4,0.0421943664550781,0.0447749169603491,-0.0056460706926989,-0.0137352470954065,-0.0143279404639986,-0.0336447019888023,-1.537294406850779,-3.42221954059159,-inf
0.141,1,4,0.0234355926513671,0.066751252406858,-0.004447321028251,-0.0118014764532533,-0.0140560714856732,-0.0445937309922599,-2.7206581097132783,-3.883795482549651,-inf
0.142,1,4,0.0235202312469482,0.0547824427899866,-0.0067523910440467,-0.0126203169158037,-0.0136328068671686,-0.0465255279612967,-2.5017332840380035,-3.7404309909640503,-inf
0.143,1,4,0.0233962535858154,0.0483240126260342,-0.0054982253375225,-0.0117347836668361,-0.011774779870199,-0.0502096955680884,-2.108081611500625,-3.6977857950793753,-inf
0.144,1,4,0.0236270427703857,0.0473140435025451,-0.0032978107967284,-0.0105651306657272,-0.0122269459925137,-0.053196645366083,-2.6998361046309607,-3.731568849078607,-inf
