g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.055,1,4,0.0229692459106445,0.0346623715919628,0.0112822058501503,-0.0055660111253221,-0.0104775651957732,-0.0379202978937632,-0.1126066396200076,-0.3462738584664779,-inf
0.056,1,4,0.0230100154876709,0.0394670323145144,0.0063716432424807,-0.006758134109931,-0.0071470159481533,-0.041057718186701,-0.1121631294774605,-0.2713706700098661,-inf
0.057,1,4,0.0235152244567871,0.0395262842415914,0.0043436395509531,-0.0059152495807041,-0.0061142890071859,-0.0432435738344737,-0.1146015930525706,-0.2968147225780773,-inf
0.058,1,4,0.0228750705718994,0.0390927912507266,0.0063049440539524,-0.0057094118164502,-0.0057921153939861,-0.0465922610436981,-0.1188651611246338,-0.3101046833795473,-inf
0.059,1,4,0.0227530002593994,0.03535058836513,0.0046888106212187,-0.0052160628908433,-0.0083642649879567,-0.0417625234821206,-0.1092278597445291,-0.3354843966524165,-inf
0.06,1,4,0.0377900600433349,0.0394760634109585,0.0047964173265999,-0.0050058341100306,-0.006833639363609,-0.0426216684967936,-0.1091376288501084,-0.3389268267086331,-inf
0.061,1,4,0.0389482975006103,0.0389755801964565,0.0018776467388684,-0.005554114542848,-0.0062223303899026,-0.0504546617528697,-0.1261649670402497,-0.3175918794441847,-inf
0.062,1,4,0.0382220745086669,0.0405550622929032,0.0034684163071032,-0.0059549072837815,-0.0109584776851715,-0.0376812122550273,-0.1158395079965328,-inf,-inf
0.063,1,4,0.0230460166931152,0.0402585198461847,0.001873774559251,-0.0058125850923234,-0.0113488372160498,-0.0422634431516818,-0.1224573883694122,-0.3266059159721892,-inf
0.064,1,4,0.0228786468505859,0.0409517317985878,0.0062884456214896,-0.0067590576222864,-0.0135902352330984,-0.0449797309215287,-0.1162086554841952,-0.3794638937536193,-inf
0.065,1,4,0.0231597423553466,0.0407673544213856,0.0049596309300161,-0.0058148207489692,-0.0070910854219525,-0.0474403505023837,-0.116159811860538,-0.3479619676099588,-inf
0.066,1,4,0.0227072238922119,0.0413701147364923,-0.000193893703324,-0.0053814338562773,-0.0125165075324825,-0.0439910614415258,-0.1111264421045076,-0.3227165218852,-inf
0.067,1,4,0.0239675045013427,0.0395621964681107,-0.0024555528747165,-0.0060829859199377,-0.0081213609231813,-0.0454929544915368,-0.1119699612263195,-0.3561900307204884,-inf
0.068,1,4,0.0374526977539062,0.0400979111022022,0.0046466371906019,-0.0040386369257676,-0.010106049147279,-0.0466880506779262,-0.1200050114395542,-0.3925302411447018,-inf
0.069,1,4,0.0374023914337158,0.043410877623753,0.0030508546367366,-0.00663793192701,-0.0145971702009329,-0.0418267512826672,-0.1188984859459926,-0.3869284989317813,-inf
0.07,1,4,0.0228619575500488,0.0386919659206356,0.004467241264435,-0.0058446108260636,-0.0091453734633588,-0.0475359504916782,-0.1096874465614723,-0.3480198191333673,-inf
0.071,1,4,0.0227839946746826,0.0388900483240598,0.0071413498626186,-0.004038318507029,-0.0072384848809944,-0.0471927065157926,-0.1316648688439205,-0.347308017418799,-inf
0.072,1,4,0.0229835510253906,0.0386772826618662,0.0025389921161379,-0.0068331711163364,-0.0110551463528493,-0.048349662860512,-0.1284750980409277,-0.3590247475778982,-inf
0.073,1,4,0.0228693485260009,0.036567411828899,0.0062725611358148,-0.0062761800356191,-0.0105509736706728,-0.0457087513945029,-0.1364282754211029,-0.4014149001536173,-inf
0.074,1,4,0.0377566814422607,0.0424706973403463,0.0004418515311736,-0.0061303210867942,-0.0075722766540365,-0.0436378717252943,-0.1282318534437158,-0.4003332765876099,-inf
0.075,1,4,0.023202896118164,0.0403922399068944,0.0042548706571365,-0.0063188249217993,-0.0148388979631745,-0.043474724445052,-0.1350774364257727,-0.4380272765566796,-inf
0.076,1,4,0.0229749679565429,0.0423675634763903,0.0041134055953821,-0.0063502159407841,-0.0109361798617754,-0.0421419608195269,-0.129524692860022,-0.3193895629740579,-inf
0.077,1,4,0.0228388309478759,0.0413610936376588,0.0053750946276684,-0.0062583954250836,-0.0102996448117849,-0.0440391978607159,-0.1174688765317637,-0.3930238089730122,-inf
