g_value,n,lambda_1,current_zeta_value,runtime
0.051,2,0.0417586597835269,8,0.8194456100463867
0.0512,2,0.0420624170217312,8,0.8113138675689697
0.0514,2,0.041483689128606,8,0.8232204914093018
0.0516,2,0.0415250291785037,8,0.8155620098114014
0.0518,2,0.0424340636372403,8,0.8146018981933594
0.052,2,0.0439930842308421,8,0.813072681427002
0.0522,2,0.043284885716902,8,0.8160667419433594
0.0524,2,0.0427559538070837,8,0.8186888694763184
0.0526,2,0.0447268386218462,8,0.8149168491363525
0.0528,2,0.044171457759851,8,0.810767650604248
0.053,2,0.0453550471985582,8,0.8112568855285645
0.0532,2,0.0442982775661056,8,0.809342622756958
0.0534,2,0.0450517013923743,8,0.8103427886962891
0.0536,2,0.0451755831821741,8,0.8106286525726318
0.0538,2,0.045216595074149,8,0.8148691654205322
0.054,2,0.0454917679918746,8,0.8092668056488037
0.0542,2,0.045314853872832,8,0.8109607696533203
0.0544,2,0.0460613464745575,8,0.8261539936065674
0.0546,2,0.0477473358113265,8,0.8111927509307861
0.0548,2,0.0465043727373488,8,0.808516263961792
0.055,2,0.0477949693825857,8,0.8109893798828125
0.0552,2,0.0465668256485392,8,0.8116152286529541
0.0554,2,0.0463179822167856,8,0.8105871677398682
0.0556,2,0.0471324367336767,8,0.8121728897094727
0.0558,2,0.0483625483550136,8,0.8068943023681641
0.056,2,0.0497976063179924,8,0.8109962940216064
0.0562,2,0.0487609377385376,8,0.8148813247680664
0.0564,2,0.0490682765219977,8,0.8242015838623047
0.0566,2,0.0486705816962651,8,0.8479483127593994
0.0568,2,0.0476738246107336,8,0.8117527961730957
0.057,2,0.0498084347038926,8,0.822357177734375
0.0572,2,0.050395283986725,8,0.8135833740234375
0.0574,2,0.0501605896100494,8,0.8085451126098633
0.0576,2,0.0512414731980683,8,0.8100693225860596
0.0578,2,0.049552507605237,8,0.8064093589782715
0.058,2,0.0510031944273918,8,0.8058724403381348
0.0582,2,0.0519653513208183,8,0.8103601932525635
0.0584,2,0.0518020942824212,8,0.8157401084899902
0.0586,2,0.051503794932233,8,0.8128151893615723
0.0588,2,0.0525931429020718,8,0.8150439262390137
0.059,2,0.0531390868893118,8,0.8180665969848633
0.0592,2,0.0519889916759125,8,0.815028190612793
0.0594,2,0.0519940147547821,8,0.8125922679901123
0.0596,2,0.0510048402982346,8,0.8199989795684814
0.0598,2,0.0532055077529186,8,0.8035264015197754
0.06,2,0.0523892511535891,8,0.8131945133209229
0.0602,2,0.0544517398662452,8,0.8135926723480225
0.0604,2,0.0543928083823119,8,0.8107683658599854
0.0606,2,0.0533891534064489,8,0.8204903602600098
0.0608,2,0.0558675438906347,8,0.8183753490447998
0.061,2,0.0553517545385071,8,0.8338189125061035
0.0612,2,0.0553552833453729,8,0.8140585422515869
0.0614,2,0.0549686735924237,8,0.8122460842132568
0.0616,2,0.0556560227246163,8,0.8145875930786133
